rumor's strength,# low,# hight,alpha,beta,total heard α: 0.25,total heard α: 0.50,total heard α: 0.75
0.8,250,250,1,1,451.97,,
0.8,225,275,1,1,454.282,,
0.8,200,300,1,1,458.05,,
0.8,175,325,1,1,461.616,,
0.8,150,350,1,1,463.336,,
0.8,125,375,1,1,467.798,,
0.8,100,400,1,1,468.744,,
0.8,75,425,1,1,473.598,,
0.8,50,450,1,1,473.536,,
0.9,450,50,0.25,1,406.364,,
0.9,425,75,0.25,1,413.692,,
0.9,400,100,0.25,1,419.998,,
0.9,375,125,0.25,1,429.258,,
0.9,350,150,0.25,1,439.888,,
0.9,325,175,0.25,1,439.866,,
0.9,300,200,0.25,1,451.278,,
0.9,275,225,0.25,1,457.418,,
0.9,250,250,0.25,1,464.334,,
0.9,225,275,0.25,1,470.65,,
0.9,200,300,0.25,1,476.636,,
0.9,175,325,0.25,1,479.44,,
0.9,150,350,0.25,1,483.678,,
0.9,125,375,0.25,1,490.006,,
0.9,100,400,0.25,1,492.136,,
0.9,75,425,0.25,1,495.346,,
0.9,50,450,0.25,1,497.846,,
0.9,450,50,0.5,1,459.192,,
0.9,425,75,0.5,1,458.236,,
0.9,400,100,0.5,1,461.634,,
0.9,375,125,0.5,1,466.094,,
0.9,350,150,0.5,1,471.592,,
0.9,325,175,0.5,1,475.402,,
0.9,300,200,0.5,1,473.586,,
0.9,275,225,0.5,1,479.102,,
0.9,250,250,0.5,1,478.776,,
0.9,225,275,0.5,1,484.888,,
0.9,200,300,0.5,1,484.802,,
0.9,175,325,0.5,1,487.706,,
0.9,150,350,0.5,1,488.794,,
0.9,125,375,0.5,1,490.636,,
0.9,100,400,0.5,1,494.04,,
0.9,75,425,0.5,1,494.87,,
0.9,50,450,0.5,1,497.634,,
0.9,450,50,0.75,1,469.838,,
0.9,425,75,0.75,1,471.742,,
0.9,400,100,0.75,1,474.546,,
0.9,375,125,0.75,1,473.474,,
0.9,350,150,0.75,1,475.554,,
0.9,325,175,0.75,1,478.64,,
0.9,300,200,0.75,1,480.778,,
0.9,275,225,0.75,1,481.178,,
0.9,250,250,0.75,1,485.306,,
0.9,225,275,0.75,1,486.438,,
0.9,200,300,0.75,1,486.126,,
0.9,175,325,0.75,1,489.264,,
0.9,150,350,0.75,1,490.662,,
0.9,125,375,0.75,1,491.036,,
0.9,100,400,0.75,1,492.926,,
0.9,75,425,0.75,1,494.246,,
0.9,50,450,0.75,1,494.654,,
0.9,450,50,1,1,475.532,,
0.9,425,75,1,1,477.71,,
0.9,400,100,1,1,478.234,,
0.9,375,125,1,1,479.262,,
0.9,350,150,1,1,480.196,,
0.9,325,175,1,1,480.974,,
0.9,300,200,1,1,483.452,,
0.9,275,225,1,1,484.436,,
0.9,250,250,1,1,486.186,,
0.9,225,275,1,1,486.156,,
0.9,200,300,1,1,487.68,,
0.9,175,325,1,1,490.486,,
0.9,150,350,1,1,489.168,,
0.9,125,375,1,1,490.762,,
0.9,100,400,1,1,491.8,,
0.9,75,425,1,1,493,,
0.9,50,450,1,1,493.746,,
